Accuracy,Loss
0.04896815,9.391585
0.085146494,5.57811
0.1402293,2.8482337
0.2523312,1.7692469
0.27021655,1.4680798
0.29625478,1.3818535
0.33253503,1.4213396
0.33844587,1.4696506
0.28687897,1.3707353
0.29008916,1.3535918
0.34089172,1.4339083
0.2684841,1.3527902
0.27984715,1.3414346
0.3278981,1.3450788
0.34201273,1.3499522
0.3398726,1.342951
0.34089172,1.4718207
0.2753121,1.3416888
0.31801274,1.3360467
0.25859872,1.3668264
0.33513376,1.3416702
0.34089172,1.344178
0.33992356,1.3366984
0.34089172,1.3547006
0.25834394,1.346735
0.34048408,1.3391863
0.25834394,1.3794792
0.32458597,1.3382885
0.32784712,1.3367037
0.34089172,1.351175
