Accuracy,Loss
0.07184713,7.5834002
0.250293,2.189273
0.25248408,1.6768162
0.25248408,1.4220119
0.25401273,1.3718452
0.25248408,1.4617308
0.25248408,1.5717385
0.25549045,1.372147
0.25248408,1.4868853
0.25248408,1.4099536
0.3391083,1.3973564
0.25248408,1.8952285
0.3391083,1.4590659
0.25248408,1.7304709
0.3278981,1.3705903
0.25615287,1.3951833
0.31001273,1.3675501
0.25350317,1.4829307
0.25248408,1.5636821
0.25814012,1.3926191
0.29742676,1.3783664
0.3041019,1.3837856
0.25238216,1.744058
0.2664968,1.4039867
0.2570191,1.5239178
0.25421655,1.4809211
0.25574523,1.5961009
0.27882802,1.4359983
0.25289172,1.5895838
0.29411465,1.47352
